h = 0.01
hmin = 1e-005
hmax = 0.1
eps = 0.0001

flag = 1
t=        0  y(0)=           1  y(1)=           0  y(2)=          -1  
t=0.000218127  y(0)=    0.999707  y(1)=-0.000143222  y(2)=   -0.982702  
t=0.000436253  y(0)=    0.999341  y(1)=-0.000212843  y(2)=   -0.965556  
t=0.00128643  y(0)=    0.997381  y(1)=4.96717e-005  y(2)=   -0.899883  
t=0.0021366  y(0)=    0.994389  y(1)=  0.00134717  y(2)=   -0.836513  
t=0.00298678  y(0)=    0.990432  y(1)=  0.00361242  y(2)=   -0.775437  
t=0.0043965  y(0)=      0.9819  y(1)=  0.00934551  y(2)=   -0.679183  
t=0.00580623  y(0)=    0.971188  y(1)=   0.0172665  y(2)=   -0.589113  
t=0.00721595  y(0)=    0.958607  y(1)=   0.0270648  y(2)=   -0.505108  
t=0.00862567  y(0)=    0.944427  y(1)=   0.0384696  y(2)=   -0.427027  
t=0.0105092  y(0)=    0.923405  y(1)=   0.0557956  y(2)=   -0.331659  
t=0.0123928  y(0)=    0.900503  y(1)=    0.075016  y(2)=    -0.24614  
t=0.0142763  y(0)=    0.876207  y(1)=   0.0956443  y(2)=   -0.169995  
t=0.0161599  y(0)=     0.85095  y(1)=    0.117247  y(2)=   -0.102715  
t= 0.019069  y(0)=    0.810926  y(1)=    0.151654  y(2)=  -0.0149844  
t=0.0219782  y(0)=    0.770725  y(1)=    0.186271  y(2)=   0.0548703  
t=0.0248874  y(0)=    0.731274  y(1)=     0.22017  y(2)=    0.108895  
t=0.0277966  y(0)=    0.693289  y(1)=    0.252635  y(2)=    0.149087  
t=0.0307058  y(0)=    0.657317  y(1)=     0.28312  y(2)=    0.177348  
t= 0.034273  y(0)=    0.616518  y(1)=    0.317232  y(2)=    0.198334  
t=0.0378402  y(0)=    0.579765  y(1)=    0.347348  y(2)=    0.207108  
t=0.0414074  y(0)=    0.547237  y(1)=    0.373285  y(2)=    0.206393  
t=0.0449746  y(0)=     0.51892  y(1)=    0.395058  y(2)=    0.198575  
t=0.0485418  y(0)=    0.494658  y(1)=    0.412823  y(2)=    0.185694  
t= 0.052901  y(0)=    0.470134  y(1)=    0.429469  y(2)=     0.16555  
t=0.0572602  y(0)=     0.45067  y(1)=    0.441124  y(2)=    0.142891  
t=0.0616194  y(0)=    0.435577  y(1)=    0.448476  y(2)=    0.119615  
t=0.0659786  y(0)=    0.424148  y(1)=    0.452231  y(2)=    0.097089  
t=0.0703378  y(0)=    0.415701  y(1)=     0.45307  y(2)=   0.0762414  
t=0.0754904  y(0)=    0.408704  y(1)=    0.451161  y(2)=   0.0545202  
