h = 0.01
hmin = 1e-005
hmax = 0.1
eps = 1e-005

flag = 1
t=        0  y(0)=           1  y(1)=           0  y(2)=          -1  
t=6.89777e-005  y(0)=    0.999923  y(1)=-6.13974e-005  y(2)=   -0.994497  
t=0.000137955  y(0)=    0.999839  y(1)=-0.000115256  y(2)=   -0.989009  
t=0.000531023  y(0)=    0.999241  y(1)=-0.000302322  y(2)=   -0.957984  
t=0.000924091  y(0)=    0.998407  y(1)=-0.000253055  y(2)=   -0.927454  
t=0.00131716  y(0)=    0.997344  y(1)=2.55855e-005  y(2)=   -0.897417  
t=0.00195598  y(0)=    0.995144  y(1)= 0.000951994  y(2)=   -0.849651  
t=0.0025948  y(0)=    0.992388  y(1)=  0.00243622  y(2)=   -0.803183  
t=0.00323363  y(0)=    0.989108  y(1)=  0.00444563  y(2)=   -0.758009  
t=0.00387245  y(0)=    0.985335  y(1)=  0.00695038  y(2)=    -0.71412  
t=0.00480963  y(0)=    0.978964  y(1)=   0.0114625  y(2)=   -0.652041  
t=0.00574681  y(0)=    0.971679  y(1)=   0.0168931  y(2)=   -0.592682  
t= 0.006684  y(0)=    0.963562  y(1)=   0.0231585  y(2)=   -0.536005  
t=0.00762118  y(0)=    0.954694  y(1)=   0.0301793  y(2)=   -0.481972  
t=0.00941394  y(0)=    0.935907  y(1)=   0.0454416  y(2)=   -0.385808  
t=0.0112067  y(0)=    0.915141  y(1)=   0.0626946  y(2)=   -0.298804  
t=0.0129995  y(0)=    0.892843  y(1)=   0.0814927  y(2)=   -0.220566  
t=0.0147922  y(0)=    0.869413  y(1)=    0.101436  y(2)=   -0.150669  
t= 0.016585  y(0)=     0.84521  y(1)=    0.122164  y(2)=  -0.0886666  
t=0.0183777  y(0)=    0.820554  y(1)=    0.143358  y(2)=  -0.0340991  
t=0.0201705  y(0)=    0.795725  y(1)=    0.164737  y(2)=    0.013504  
t=0.0219633  y(0)=     0.77097  y(1)=    0.186055  y(2)=   0.0546174  
t= 0.023756  y(0)=    0.746499  y(1)=      0.2071  y(2)=   0.0897148  
t=0.0255488  y(0)=    0.722493  y(1)=    0.227693  y(2)=    0.119264  
t=0.0273416  y(0)=    0.699104  y(1)=    0.247681  y(2)=    0.143724  
t=0.0291343  y(0)=    0.676459  y(1)=    0.266938  y(2)=     0.16354  
t=0.0309271  y(0)=    0.654658  y(1)=    0.285362  y(2)=    0.179142  
t=0.0327198  y(0)=    0.633784  y(1)=    0.302872  y(2)=    0.190946  
t=0.0345126  y(0)=    0.613895  y(1)=    0.319408  y(2)=    0.199344  
t=0.0374236  y(0)=    0.583809  y(1)=    0.344076  y(2)=    0.206683  
